Domaine,Sous-Domaine,Compétence
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,écoute les autres
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,parle en petit groupe
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,parle devant la classe entière
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,utilise le « je » pour parler d’il/elle
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,"utilise les pronoms (tu, elle, nous…)"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,participe aux échanges de façon constructive
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,utilise « il » et « elle » quand il/elle parle des autres
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,explique ce qu’il/elle fait
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,"sait décrire un objet, un animal…"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,raconte un événement vécu
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,sait relever les points communs/différences
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,"sait faire des catégories (animaux, instruments de musique, fruits…)"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,communique en faisant des gestes
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,produit des mots/phrases « ex. ‘pipi’ pour vouloir aller aux toilettes »
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,utilise 2 mots pour se faire comprendre
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,utilise une phrase simple pour se faire comprendre « ex. je mange »
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,produit une phrase complexe pour se faire comprendre « ex. je veux aller aux toilettes »
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,"produit une phrase complexe pour se faire comprendre avec des adjectifs, des connecteurs logiques"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,communique avec les adultes
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,réutilise des mots appris en classe (vocabulaire)
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,attend son tour de parole
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,sait repérer les syllabes d’un mot
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,sait repérer une syllabe commune à plusieurs mots
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,trouve des mots qui riment
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,"sait jouer avec les syllabes (inverser, retirer…)"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,connaît le son que produit une lettre (phonème)
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ORAL,sait localiser la place d’un phonème
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,laisse des traces avec les mains ou les doigts
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,"apprend à décoller, coller des gommettes"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,fait des colombins avec la pâte à modeler
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,enfile des perles
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,manipule des objets de construction
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,associe des personnages à un album
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,sait manipuler un livre correctement
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,anticipe le déroulement d’une histoire
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,écoute une histoire avec intérêt
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,"identifie les éléments de l’histoire : personnages, actions, lieux"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,ordonne les images en respectant la chronologie de l’histoire
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,identifie les émotions
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,raconte une histoire en respectant la chronologie et les liens logiques
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,"reconnaît différents types d’écrits (recettes, livres, affiches, manuels…)"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,est capable de proposer une phrase à écrire
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,"sait faire la différence entre mots, lettres, chiffres"
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,identifie des mots en se fiant aux lettres et à leur ordre
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,commence à utiliser un clavier
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,connaît et nomme la majorité des lettres capitales
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,connaît et nomme la majorité des lettres minuscules script
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,connaît et nomme la majorité des lettres cursives
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,fait correspondre lettres majuscules et lettres script
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,tient correctement les outils scripteurs
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,reconnaît l’initiale de son prénom
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,nomme les lettres de son prénom
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,sait écrire son prénom en capitales
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,écrit son prénom en lettres cursives avec/sans modèle
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,trace des lettres en cursives
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,sait enchaîner plusieurs lettres en cursives
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,colorie sans dépasser
MOBILISER LE LANGAGE DANS TOUTES SES DIMENSIONS,L’ÉCRIT,écrit seul un mot en utilisant des lettres ou des groupes de lettres empruntés aux mots connus
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,construit ou dénombre une collection jusqu’à 3
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,construit ou dénombre une collection jusqu’à 6
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,construit ou dénombre une collection jusqu’à 10
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,construit une collection équivalente à une autre
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,construit ou dénombre une collection supérieure à 10
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,compare deux collections d’objets
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,ajoute ou enlève pour aller jusqu’à 6
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,reconnaît les constellations du dé
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,montre une quantité avec les doigts
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,dit la suite des nombres jusqu’à…
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,sait lire des nombres
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,estime des quantités
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,décompose un nombre (ex. 5 c’est 3 et encore 2)
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,sait trier des objets selon un critère
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,LES NOMBRES,sait classer des objets selon un critère
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",nomme quelques formes planes
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",nomme quelques solides
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",dessine quelques formes géométriques
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES","ordonne des objets selon un critère (taille, masse)"
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",décompose un nombre (ex. 5 c’est 3 et encore 2)
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",continue ou complète un algorithme
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",fait un puzzle à encastrements
CONSTRUIRE LES PREMIERS OUTILS POUR STRUCTURER SA PENSÉE,"LES FORMES, LES GRANDEURS, LES SUITES ORGANISÉES",fait un puzzle à … pièces
EXPLORER LE MONDE,SE REPÉRER DANS LE TEMPS,se repère dans la matinée
EXPLORER LE MONDE,SE REPÉRER DANS LE TEMPS,se repère dans la journée
EXPLORER LE MONDE,SE REPÉRER DANS LE TEMPS,se repère dans la semaine
EXPLORER LE MONDE,SE REPÉRER DANS LE TEMPS,se repère dans le mois (utilisation d’un calendrier)
EXPLORER LE MONDE,SE REPÉRER DANS LE TEMPS,"utilise les mots hier, aujourd’hui, demain, avant, après…"
EXPLORER LE MONDE,SE REPÉRER DANS L’ESPACE,se repère dans la classe
EXPLORER LE MONDE,SE REPÉRER DANS L’ESPACE,se repère dans l’école
EXPLORER LE MONDE,SE REPÉRER DANS L’ESPACE,"utilise le vocabulaire spatial sur, sous, dedans…"
EXPLORER LE MONDE,SE REPÉRER DANS L’ESPACE,se repère sur un quadrillage
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",désigne et/ou nomme les parties du corps
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait dessiner un bonhomme « têtard »
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait dessiner un bonhomme « fil de fer »
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait dessiner un bonhomme complet
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",connaît des caractéristiques des animaux
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",connaît des caractéristiques des végétaux
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",applique les règles d’hygiène élémentaires
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",connaît quelques familles d’aliments
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait tenir des ciseaux
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait découper une ligne
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait découper une forme
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait coller
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",utilise une fiche technique
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",réalise des constructions avec modèle
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",connaît des propriétés de la matière
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",agit sur la matière
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait représenter une idée par un schéma
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait enfiler son manteau tout seul
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait fermer son manteau tout seul
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait utiliser des objets numériques
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",sait utiliser un clavier pour écrire des mots
EXPLORER LE MONDE,"EXPLORER LE MONDE DU VIVANT, DES OBJETS ET DE LA MATIÈRE",connaît quelques couleurs
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,s’engage dans l’activité
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,explore les possibilités du matériel
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,sait lancer …
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,sait sauter …
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,sait courir …
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,cherche à s’améliorer
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,enchaîne des actions sur un parcours
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,prend des risques mesurés
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,"invente, reproduit, apprend une suite de mouvements"
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,joue à un jeu collectif en respectant les règles
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ PHYSIQUE",,sait coopérer et s’opposer
"AGIR, S’EXPRIMER, COMPRENDRE À TRAVERS L’ACTIVITÉ ARTISTIQUE",LES PRODUCTIONS PLASTIQUES ET VISUELLES,laisse des traces avec différents outils
